Home/Homepage,गृहपृष्ठ
Official,आधिकारिक
Portal,पोर्टल
" e-Services
",विद्युतीय सेवा
Search,खोजी
Facebook,फेसबुक 
Twitter,ट्विटर 
E-Learning,ई -शिक्षा
Forum,फोरम
Terms of Use,नियम तथा सर्त
Help,सहयोग
Feedback,प्रतिकृया 
Android,एन्डरोइड
Apps,एप्स
Framework,फ्रेमवर्क 
E-Governance,विद्युतीय सुशासन
Center,केन्द्र
Certification,प्रमाणीकरण
Login,लग – इन
Sign in,साईन ईन
form,फारम
E-form,ई-फारम
News feeds,समाचार
Dataset,डाटासेट
Open,ओपन 
Open Data,ओपन डाटा
Online,अनलाइन
Restriction,प्रतिबन्ध
Restricted,प्रतिबन्धित
Services,सेवाहरू
Service,सेवा
Download,डाउनलोड
Source,स्रोत
Sources,स्रोतहरू
Contributor,योगदानकर्ता
Contributors,योगदानकर्ताहरू
Category,कोटि
Explore,अन्वेषण
Publish,प्रकाशित
API,एपीआई
Tags,ट्यागहरू
License,लाइसेन्स
Integration,एकीकरण
Recent,भर्खरको
Register,दर्ता
Contribute,योगदान
Start,सुरू
Site,साइट
Contact,सम्पर्क
Realtime,रियलटाइम
Data, डाटा
Question,प्रश्न
Attribution,एट्रिब्युसन 
Filter,फिल्टर
Publisher,प्रकाशक
Digital,डिजिटल
Demand,माग
List,सूची
Agency,एजेन्सी
Source Not Found, स्रोत फेला पार्न सकिएन। 
Guide,गाईड
Code,कोड
Client,ग्राहक
External,बाह्य
Format,फर्म्याट
Query,क्वेरी
Upload,अपलोड
Package,प्याकेज
Packages,प्याकेजहरू
Request,अनुरोध
Answer,जवाफ
Edit,सम्पादन
View,हेर्नुहोस्
Tool,उपकरण
Tools,उपकरणहरू
Call,कल
Terminal,टर्मिनल
Dictionary,शब्दकोश
Check,जाँच
HTTP,एचटीटीपी
Internet,इन्टरनेट
Phone,फोन
Module,मोड्युल
Programming,प्रोग्रामिंग
Programming Language,प्रोग्रामिंग भाषा
Example,उदाहरण
Script,स्क्रिप्ट
File,फाईल
Number,नम्बर
Browser,ब्राउजर
Parameter,प्यारामिटर
Parameters,प्यारामिटरहरू
ID,आईडी
String,स्ट्रिंग
Optional,वैकल्पिक
Member,सदस्य
Members,सदस्यहरू
Group,समूह
Limit,सीमा
Groups,समूहहरू
Inbox,इनबक्स
Exception,अपवाद
Library,पुस्तकालय
Forum,फोरम
Course,पाठ्यक्रम
Courses,पाठ्यक्रमहरू
Store,स्टोर
Release,रिलीज
Computer,कम्प्यूटर
Computer Vision,कम्प्यूटर भिजन
Online Documentation,"अनलाइन कागजात
"
Wiki,विकी
Annotation Tool,एनोटेसन उपकरण
Donate,दान गर्नुहोस्
Our Services,हाम्रो सेवाहरू
Sponsor,प्रायोजक
Sponsors,प्रायोजकहरू
Partner,साझेदार
Partners,साझेदारहरू
Blog,ब्लग
Blogs,ब्लगहरू
Open Source,खुला स्रोत
Cross Platform,क्रस-प्लेटफर्म
Free,नि: शुल्क
Linux, लिनक्स
E-mail,इ-मेल
Wikipedia,विकिपेडिया
General Link,सामान्य लिंक
Podcast,पोडकास्ट
Link,लिंक
Links,लिंकहरू
Copyright,प्रतिलिपि अधिकार
Privacy Policy,गोपनीयता नीति 
Latest News,भर्खरको समाचार
Google,गुगल
Error,त्रुटि
Date,मिति
Expert,विज्ञ
Student,विद्यार्थी
Device,उपकरण
Introduction,परिचय
Fundamentals,आधारभूत
Audio,अडियो
Video,भिडियो
Videos,भिडियोहरू
Setting,सेटिंग
Like,मनपर्‍यो
Comment,टिप्पणी
Share,सेयर गर्नुहोस्
Subscribe,सदस्यता लिनुहोस्
Delete,मेटाउन
Cut,काट्नुहोस्
Core,कोर
Volume,भोल्यूम
Volume up,आवाज बढाउ
Find and Replace,फेला पार्नुहोस् र बदल्नुहोस्
Find,फेला पार्नुहोस्
Replace,बदल्नुहोस्
Zoom,जुम
Zoom in,जुम गर्नुहोस्
Zoom out,जुम आउट
Microphone,माइक्रोफोन
Mute,मौंन
Detected,पत्ता लाग्यो
Discover,खोज्नुहोस्
History,ईतिहास
Record,रेकर्ड
Account,खाता
Archive,अभिलेख
Information,जानकारी
Microsoft,माइक्रोसफ्ट
Starred,तारांकित
Sort,क्रमबद्ध गर्नुहोस्
Validity,वैधता
Auto-filter,स्वत: फिल्टर
New Tab,नयाँ ट्याब 
Close Tab,ट्याब बन्द गर्नुहोस् 
New Window,नयाँ विन्डो
New Private Window,नयाँ निजी विन्डो
Open File,फाईल खोल्नुहोस् 
Save Page As,पृष्ठलाई बचत गर्नुहोस् 
Print Page,पृष्ठ प्रिन्ट गर्नुहोस् 
Print,प्रिन्ट गर्नुहोस् 
Offline,अफलाईन
Quit,छोड्नुहोस् 
Select All,सबै छान्नु 
Find in this page,यस पृष्ठमा खोज्नुहोस् 
Preferences,प्राथमिकताहरू 
Bookmarks,बुकमार्कहरू
Bookmark,बुकमार्क
Synced Tabs,सिंक गरिएका ट्याबहरू 
Notes,नोटहरू
Show all bookmarks,सबै बुकमार्कहरू देखाउनुहोस्
Bookmark this page,यो पन्ना बूक्मार्क गर्नुहोस 
Downloads,डाउनलोडहरू 
Add-ons,एड्-अनहरू
Web,वेब
Keyboard,कीबोर्ड
Dashboard,ड्यासबोर्ड
Logins,लगइनहरू
Password,पासवर्ड
Customize,अनुकूलन गर्नुहोस्
Screen,स्क्रिन
Fullscreen,पूर्ण स्क्रीन
Ubuntu,उबुन्टु
